;Dato;PO;Temperature;% Dødfisk;Tetthet;BA_ano;% FORFORBRUK;% Rensefisk;badebehandling;ferskvannsbehandling;fôrbehandling;mekanisk behandling;termisk behandling
560;2018-08-31;7.0;15.51;0.6315633217456565;10.088280596452329;0.09022070836444135;24.700612986090597;0.0;0.0;0.0;1.0;0.0;0.0
561;2018-09-30;7.0;13.8;0.7597669908305266;9.966685019401332;-0.2268674150105393;25.592877180911128;0.0;0.0;0.0;1.0;0.0;0.0
562;2018-10-31;7.0;11.02;0.6814885446319706;10.185956721914264;1.225884694997526;27.432556106107185;0.0;0.0;0.0;0.0;0.0;0.0
563;2018-11-30;7.0;9.09;0.6489241461043498;11.24095818569845;-0.8400291469913744;23.75490727988094;0.0;0.0;0.0;1.0;0.0;0.0
564;2018-12-31;7.0;7.49;0.5549784803500288;11.6217129244272;-1.2474466767823367;19.16436000150035;0.0;0.0;0.0;1.0;0.0;0.0
565;2019-01-31;7.0;6.04;0.8186026351113965;11.681341735033259;0.3319426400281583;15.9891323978609;0.16098027557128514;0.0;0.0;0.0;0.0;0.0
566;2019-02-28;7.0;5.33;0.4181360335414508;12.1775194018847;-0.4066460387422251;14.455651782176698;0.2632546717326633;0.0;0.0;0.0;0.0;0.0
567;2019-03-31;7.0;4.92;0.36455873761904917;11.63931341685144;-0.5763024878207192;14.379497628483954;1.0048910617347833;0.0;0.0;0.0;0.0;0.0
568;2019-04-30;7.0;6.34;0.40860157147851894;11.886446118810053;-0.1256456684786232;14.195489797825733;0.4742287714696411;0.0;0.0;0.0;0.0;0.0
569;2019-05-31;7.0;8.63;0.7965756550964872;12.00577722376201;0.7691765755910217;17.920514461558767;0.6805696059680122;0.0;0.0;0.0;0.0;0.0
570;2019-06-30;7.0;12.01;0.35629882224284504;11.85488896286031;0.5635423970386835;18.945662482294722;0.8814050742922087;0.0;0.0;1.0;0.0;0.0
571;2019-07-31;7.0;14.42;0.6015208969509682;11.909967447893571;0.7900810667226131;22.030757616135407;0.7150623148259551;0.0;0.0;1.0;0.0;0.0
572;2019-08-31;7.0;15.3;0.7156936482488885;12.317719516814488;-1.0728391640147814;26.257401004423215;1.362401883006368;0.0;0.0;1.0;0.0;0.0
573;2019-09-30;7.0;13.46;0.7376144577888982;11.757695296008869;0.39740670436129955;25.716203531365583;1.0497667057437665;1.0;0.0;1.0;0.0;0.0
574;2019-10-31;7.0;11.03;0.5348100053738668;10.788493277900962;-0.9543437063899188;25.671609104948757;0.47560627613252043;1.0;0.0;1.0;0.0;0.0
575;2019-11-30;7.0;8.43;0.5178651838270699;10.384237529933483;-0.8815080583419532;20.930329198586744;0.4779126523083382;1.0;0.0;1.0;0.0;0.0
576;2019-12-31;7.0;7.08;0.5244771785045335;10.742999083518107;-0.8634641817862637;16.848947026933182;0.6314689435952555;0.0;0.0;1.0;0.0;0.0
577;2020-01-31;7.0;6.54;0.8243617454910949;10.97205503954176;1.033563376586885;14.4764747516045;0.39062507343654373;1.0;0.0;0.0;0.0;0.0
578;2020-02-29;7.0;5.92;;;-0.8953710366713242;;;0.0;0.0;0.0;0.0;0.0
579;2020-03-31;7.0;5.59;1.0297162863518885;8.955345101071693;-0.8819481528920919;16.332200886190076;0.5965796138289421;0.0;0.0;1.0;0.0;0.0
580;2020-04-30;7.0;6.08;1.1267152778599747;9.053438124168515;1.1862761854850368;12.854030605350303;0.38273572458982585;1.0;0.0;1.0;0.0;0.0
581;2020-05-31;7.0;7.76;1.2006768753641932;9.171464183111604;1.348781098123776;16.589769413206653;0.21028334807797178;0.0;0.0;1.0;0.0;0.0
582;2020-06-30;7.0;13.36;0.6912360803694279;9.892998059866963;2.7684160932338995;18.128081528243857;0.6199559414403538;0.0;0.0;1.0;0.0;0.0
583;2020-07-31;7.0;14.05;0.5924575740622453;9.272250493717666;0.6771968146120199;23.793505799641974;0.4624828182733184;0.0;0.0;1.0;0.0;0.0
584;2020-08-31;7.0;15.6;0.73939701845019;8.847459567997044;0.25910699198019255;27.23175543047745;1.3639529564486148;0.0;0.0;1.0;0.0;0.0
585;2020-09-30;7.0;13.69;0.5294034121426787;8.926539291204728;0.8198974724945146;27.643750680700315;0.437145899117994;0.0;0.0;1.0;0.0;0.0
586;2020-10-31;7.0;11.51;0.5099672033266875;8.850162259608277;-0.9223268278673236;27.691739272152066;0.5706423803063957;1.0;0.0;1.0;0.0;0.0
587;2020-11-30;7.0;9.44;0.3335326368377387;9.018252052660753;0.20706581142628333;23.028720548453915;0.6888489912838942;0.0;0.0;1.0;0.0;0.0
588;2020-12-31;7.0;8.21;0.530370033710185;9.589297248706577;-1.3113704101899923;20.172809950127345;0.11072207062962824;0.0;0.0;1.0;0.0;0.0
589;2021-01-31;7.0;6.83;0.5200929960677456;9.602137110495196;-1.3169816157042615;17.687488947400063;0.504645563224593;0.0;0.0;1.0;0.0;0.0
590;2021-02-28;7.0;5.55;0.515527674698407;10.871230095898005;-1.148535426638649;14.098453786292412;0.29868594137487253;1.0;0.0;1.0;0.0;0.0
591;2021-03-31;7.0;5.22;0.720386051650607;11.055129337583148;0.41281001361615643;15.466395328168842;0.0018145245764157334;0.0;0.0;1.0;0.0;0.0
592;2021-04-30;7.0;5.67;;10.998194493717666;0.8873419623032803;13.97725050906444;0.0;1.0;0.0;1.0;0.0;0.0
593;2021-05-31;7.0;8.16;;11.622673292128605;0.6400088251252942;16.992017196519036;0.44447253385424657;0.0;0.0;1.0;0.0;0.0
594;2021-06-30;7.0;12.59;0.6524769597338052;12.174362304323726;0.765545795552377;19.63447358857204;0.14128928682910863;0.0;0.0;1.0;0.0;0.0
595;2021-07-31;7.0;14.58;0.8745657395267571;12.440132087028825;-0.04323796396513957;23.642487622027133;0.06980940018332124;0.0;0.0;1.0;0.0;0.0
596;2021-08-31;7.0;13.99;0.6901576285085843;12.991461953436806;-0.25580363168216325;25.46471617576747;0.25449597211641173;1.0;0.0;1.0;0.0;0.0
597;2021-09-30;7.0;12.13;0.663831414090577;13.543092407797486;0.339094176467913;28.166720961344787;0.302303848800788;0.0;0.0;1.0;0.0;0.0
598;2021-10-31;7.0;11.0;0.7193724149047972;13.591622169623061;0.5948991337360705;26.369157851655427;0.38225969488632106;0.0;0.0;1.0;0.0;0.0
599;2021-11-30;7.0;9.33;0.6125182370294016;11.833989400036955;0.30938779433354646;23.190624256023014;0.394543473015686;0.0;0.0;1.0;0.0;0.0
600;2021-12-31;7.0;7.32;0.7071998981645823;11.474278609386547;-0.6011678299035595;17.487004142605965;0.18213075094283895;0.0;0.0;0.0;0.0;0.0
