Dato;index;PO;BEHFISK_STK;BIOMASSE_KG;FORFORBRUK_KG;DØDFISK_STK;% Dødfisk;Tetthet;% FORFORBRUK
2023-03-31;59;1.0;1115405;4068536.6319999998;883650;9304;0.8341364795746837;884.849202261853;21.719111315107366
2023-04-30;60;1.0;581342;681182.579;150559;5785;0.9951113114139354;148.14758133971293;22.10259108813762
2023-05-31;61;1.0;580808;776747.524;108750;534;0.09194088235699233;168.93160591561548;14.000688336922204
2023-06-30;62;1.0;3133024;1754676.566;411904;6360;0.20299876413331017;381.6173479773815;23.47463959919323
2023-07-31;63;1.0;3126907;2510209.335;877972;6117;0.195624622030652;545.935044584602;34.97604712716121
2023-08-31;64;1.0;4651630;3805203.359;1278670;15650;0.3364412044810099;827.577938016529;33.6031974999631
2023-09-30;65;1.0;6891913;5465287.616;1447160;37844;0.5491073378320359;1188.6227959982602;26.47911878897903
2023-10-31;66;1.0;7594615;7183816.398;1914692;49346;0.6497498556543024;1562.3785119617226;26.652852661059896
2023-11-30;67;1.0;7309035;7979795.842;1969131;32786;0.448568107828188;1735.4927886037408;24.676458383006334
2023-12-31;68;1.0;7852284;9611038.863;1925656;21805;0.27768990525559184;2090.265085471944;20.035877780218687
2024-01-31;69;1.0;7564277;9406809.498;1676835;18065;0.238819916298676;2045.84808568943;17.825756972717638
2024-02-29;70;1.0;7551364;10730555.063;1584251;12913;0.17100221893687023;2333.744032840365;14.763924053310646
2024-03-31;71;1.0;7529874;12252635.419;1852647;21490;0.28539654182792434;2664.774993257938;15.120396034367634
2024-04-30;72;1.0;7497799;14100362.477;2270137;35797;0.47743344413473876;3066.629507829491;16.09984852306432
2024-05-31;73;1.0;7097178;15244605.761;2818924;34916;0.491970188714444;3315.486246411483;18.491288290390575
2024-06-30;74;1.0;6136553;14214148.131;2892455;26056;0.42460319335627017;3091.3762790343626;20.34912661203925
2024-07-31;75;1.0;5268072;13815090.308;3255406;108428;2.058210290216231;3004.5868438451503;23.564131159641207
2024-08-31;76;1.0;5279020;14473210.511;2896554;119517;2.2639997575307538;3147.7186844280122;20.013209908047333
